Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_BTTR,Geo_BTBG,Geo_PUMA5,Geo_PUMA1,SE_A00001_001,SE_A03001_001,SE_A03001_002,SE_A03001_003,SE_A03001_004,SE_A03001_005,SE_A03001_006,SE_A03001_007,SE_A03001_008,SE_A04001_001,SE_A04001_002,SE_A04001_003,SE_A04001_004,SE_A04001_005,SE_A04001_006,SE_A04001_007,SE_A04001_008,SE_A04001_009,SE_A04001_010,SE_A04001_011,SE_A04001_012,SE_A04001_013,SE_A04001_014,SE_A04001_015,SE_A04001_016,SE_A04001_017,SE_B04001_001,SE_B04001_002,SE_B04001_003,SE_B04001_004,SE_B04001_005,SE_B04001_006,SE_B04001_007,SE_B04001_008,SE_B04001_009,SE_B04001_010,SE_A04002_001,SE_A04002_002,SE_A04002_003,SE_A04002_004,SE_A04002_005,SE_A04002_006,SE_A04002_007,SE_A04002_008,SE_A04002_009,SE_A04002_010,SE_A04002_011,SE_A04002_012,SE_A04002_013,SE_A04002_014,SE_A04002_015,SE_A04002_016,SE_A04002_017,SE_A04002_018,SE_A04002_019,SE_A04002_020,SE_A04002_021,SE_A04002_022,SE_A04002_023,SE_A04002_024,SE_A04002_025,SE_A04002_026,SE_A04002_027,SE_A04002_028,SE_A04002_029,SE_A04002_030,SE_A04002_031
"12031","05000US12031","Duval County","Duval County, Florida","fl","050","00","ACSSF","0000027",,,,,"12","031",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,924229,924229,557139,273829,2138,43026,687,16064,31346,924229,838045,494360,269513,1766,42474,668,3110,26154,86184,62779,4316,372,552,19,12954,5192,924229,838045,494360,269513,1766,42474,668,3110,26154,86184,924229,838045,86184,17195,25953,10806,3374,10745,609,1951,4123,1372,1209,1475,6,11821,729,254,564,4882,1409,49,1783,33,2103,15,6290,2259,868,22,3141
"12057","05000US12057","Hillsborough County","Hillsborough County, Florida","fl","050","00","ACSSF","0000040",,,,,"12","057",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1378883,1378883,970497,229200,4336,55157,904,68035,50754,1378883,992405,682935,213409,2483,54617,723,5332,32906,386478,287562,15791,1853,540,181,62703,17848,1378883,992405,682935,213409,2483,54617,723,5332,32906,386478,1378883,992405,386478,75370,116867,92440,17235,24606,1567,5029,8441,2774,2860,3918,17,41182,1665,838,658,19949,3449,25,6124,619,7564,291,18778,8809,2267,113,7589
"12073","05000US12073","Leon County","Leon County, Florida","fl","050","00","ACSSF","0000048",,,,,"12","073",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,288102,288102,177852,89444,578,10107,81,2725,7315,288102,270052,163785,88415,494,10061,68,601,6628,18050,14067,1029,84,46,13,2124,687,288102,270052,163785,88415,494,10061,68,601,6628,18050,288102,270052,18050,3567,3891,3350,569,2323,91,506,265,302,379,760,20,2578,231,136,158,876,376,103,267,17,414,0,1772,809,177,0,786
"12086","05000US12086","Miami-Dade County","Miami-Dade County, Florida","fl","050","00","ACSSF","0000055",,,,,"12","086",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2715516,2715516,2041796,481976,4668,43289,751,100332,42704,2715516,869870,365131,436864,2321,41372,590,7370,16222,1845646,1676665,45112,2347,1917,161,92962,26482,2715516,869870,365131,436864,2321,41372,590,7370,16222,1845646,2715516,869870,1845646,62257,100245,985704,69646,243255,6929,24716,67825,114143,9434,19967,241,339130,36470,4778,14805,130162,22759,953,42301,6600,80033,269,45409,15132,3023,99,27155
"12095","05000US12095","Orange County","Orange County, Florida","fl","050","00","ACSSF","0000060",,,,,"12","095",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1321194,1321194,844074,277193,2888,68133,1012,83429,44465,1321194,912870,539349,262987,1471,66884,696,10823,30660,408324,304725,14206,1417,1249,316,72606,13805,1321194,912870,539349,262987,1471,66884,696,10823,30660,408324,1321194,912870,408324,42226,194663,36829,25622,26933,1686,7604,7164,3472,2995,3668,344,69339,3191,396,1717,28651,6331,89,6772,523,21384,285,12712,4204,813,154,7541
"13089","05000US13089","DeKalb County","DeKalb County, Georgia","ga","050","00","ACSSF","0000056",,,,,"13","089",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,743187,743187,256546,401085,5661,45322,269,13542,20762,743187,679451,216221,396854,1361,45140,260,2663,16952,63736,40325,4231,4300,182,9,10879,3810,743187,679451,216221,396854,1361,45140,260,2663,16952,63736,743187,679451,63736,34572,4313,2693,1509,13519,119,6519,2992,367,779,2739,4,5493,399,85,573,1908,585,27,955,175,772,14,1637,445,78,0,1114
"13121","05000US13121","Fulton County","Fulton County, Georgia","ga","050","00","ACSSF","0000072",,,,,"13","121",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1021902,1021902,458596,451053,3837,70225,321,15106,22764,1021902,947574,406755,445992,1612,69987,206,4238,18784,74328,51841,5061,2225,238,115,10868,3980,1021902,947574,406755,445992,1612,69987,206,4238,18784,74328,1021902,947574,74328,44917,7572,3212,895,6045,530,1440,913,408,1292,1462,0,8331,586,112,381,3135,799,77,1244,593,1384,20,3356,1356,519,175,1306
"13135","05000US13135","Gwinnett County","Gwinnett County, Georgia","ga","050","00","ACSSF","0000079",,,,,"13","135",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,902298,902298,448155,245748,3509,102858,269,74969,26790,902298,713690,345876,239090,1221,102668,219,4042,20574,188608,102279,6658,2288,190,50,70927,6216,902298,713690,345876,239090,1221,102668,219,4042,20574,188608,902298,713690,188608,92633,11993,5551,10129,41786,612,11060,10075,2102,1279,16344,314,22569,1128,125,213,12600,1177,158,2938,607,3570,53,3947,944,165,0,2838
"13217","05000US13217","Newton County","Newton County, Georgia","ga","050","00","ACSSF","0000119",,,,,"13","217",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106497,106497,54326,46869,323,1145,84,1002,2748,106497,100764,50708,46165,169,1132,84,232,2274,5733,3618,704,154,13,0,770,474,106497,100764,50708,46165,169,1132,84,232,2274,5733,106497,100764,5733,3375,960,224,30,597,44,334,157,0,62,0,0,246,17,13,0,187,29,0,0,0,0,0,301,23,8,0,270
"13247","05000US13247","Rockdale County","Rockdale County, Georgia","ga","050","00","ACSSF","0000134",,,,,"13","247",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89011,89011,35556,47414,112,1743,319,1512,2355,89011,79973,29491,46459,95,1743,319,122,1744,9038,6065,955,17,0,0,1390,611,89011,79973,29491,46459,95,1743,319,122,1744,9038,89011,79973,9038,6248,649,459,300,580,52,51,167,0,262,48,0,342,0,0,0,74,0,0,168,0,62,38,460,124,0,0,336
"18097","05000US18097","Marion County","Marion County, Indiana","in","050","00","ACSSF","0000061",,,,,"18","097",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,944523,944523,588161,261724,2447,29367,509,31660,30655,944523,848263,528704,259571,1827,29015,245,2630,26271,96260,59457,2153,620,352,264,29030,4384,944523,848263,528704,259571,1827,29015,245,2630,26271,96260,944523,848263,96260,66355,5209,1214,1799,14279,119,3184,5210,1019,267,4277,203,2732,165,70,208,681,265,0,670,22,599,52,4672,569,496,26,3581
"22071","05000US22071","Orleans Parish","Orleans Parish, Louisiana","la","050","00","ACSSF","0000048",,,,,"22","071",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,389648,389648,132423,232789,632,11294,98,5297,7115,389648,368245,119323,229914,499,11163,64,1525,5757,21403,13100,2875,133,131,34,3772,1358,389648,368245,119323,229914,499,11163,64,1525,5757,21403,389648,368245,21403,5016,1024,1575,831,8426,153,1160,4468,947,259,1256,183,2067,302,138,126,648,332,12,237,0,272,0,2464,1203,431,0,830
"26163","05000US26163","Wayne County","Wayne County, Michigan","mi","050","00","ACSSF","0000094",,,,,"26","163",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1761382,1761382,937396,685098,5566,57380,481,33543,41918,1761382,1658180,873218,681837,4498,57117,460,4551,36499,103202,64178,3261,1068,263,21,28992,5419,1761382,1658180,873218,681837,4498,57117,460,4551,36499,103202,1761382,1658180,103202,77633,13094,1423,1262,3561,100,1260,849,200,355,797,0,2168,400,21,83,665,176,6,393,23,201,200,4061,1138,510,0,2413
"32003","05000US32003","Clark County","Clark County, Nevada","nv","050","00","ACSSF","0000014",,,,,"32","003",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2141574,2141574,1299138,245827,16590,205824,15846,246907,111442,2141574,1479493,931411,235651,9548,201846,14480,7109,79448,662081,367727,10176,7042,3978,1366,239798,31994,2141574,1479493,931411,235651,9548,201846,14480,7109,79448,662081,2141574,1479493,662081,492635,24234,28973,3981,65103,1394,16230,5167,4443,1521,35985,363,21020,2972,459,1474,6021,2147,33,5889,291,1567,167,26135,8859,5300,234,11742
"37119","05000US37119","Mecklenburg County","Mecklenburg County, North Carolina","nc","050","00","ACSSF","0000072",,,,,"37","119",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1054314,1054314,574455,330161,3779,60906,566,54331,30116,1054314,916909,498733,324864,2612,60609,506,3324,26261,137405,75722,5297,1167,297,60,51007,3855,1054314,916909,498733,324864,2612,60609,506,3324,26261,137405,1054314,916909,137405,52961,12389,5097,6679,38859,690,5036,15877,2091,1411,13734,20,17542,1196,125,642,5568,4316,236,3061,314,2084,0,3878,1084,442,39,2313
"37183","05000US37183","Wake County","Wake County, North Carolina","nc","050","00","ACSSF","0000104",,,,,"37","183",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1046558,1046558,688209,212597,3675,69931,434,39465,32247,1046558,941197,631197,207445,2704,69780,434,3282,26355,105361,57012,5152,971,151,0,36183,5892,1046558,941197,631197,207445,2704,69780,434,3282,26355,105361,1046558,941197,105361,53408,13127,4335,3519,16161,561,2689,3487,912,1170,7092,250,8881,851,123,846,3780,816,99,1015,188,1085,78,5930,1219,586,6,4119
"40109","05000US40109","Oklahoma County","Oklahoma County, Oklahoma","ok","050","00","ACSSF","0000067",,,,,"40","109",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,782051,782051,535498,117920,21516,26550,792,27564,52211,782051,648108,440781,116092,18985,26362,532,1384,43972,133943,94717,1828,2531,188,260,26180,8239,782051,648108,440781,116092,18985,26362,532,1384,43972,133943,782051,648108,133943,110575,2558,738,251,10676,41,6183,2354,78,214,1775,31,3024,190,33,111,1077,200,31,884,26,468,4,6121,1934,1238,7,2942
"40143","05000US40143","Tulsa County","Tulsa County, Oklahoma","ok","050","00","ACSSF","0000084",,,,,"40","143",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,642781,642781,450615,64783,31257,20542,559,24355,50670,642781,562769,401570,63780,29072,20209,536,1521,46081,80012,49045,1003,2185,333,23,22834,4589,642781,562769,401570,63780,29072,20209,536,1521,46081,80012,642781,562769,80012,63601,2775,968,300,6331,220,2361,1919,54,223,1545,9,2933,97,98,162,707,172,23,667,0,972,35,3104,962,772,15,1355
"45019","05000US45019","Charleston County","Charleston County, South Carolina","sc","050","00","ACSSF","0000022",,,,,"45","019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,394708,394708,269342,107789,674,5621,137,3144,8001,394708,374764,253360,107050,643,5561,137,459,7554,19944,15982,739,31,60,0,2685,447,394708,374764,253360,107050,643,5561,137,459,7554,19944,394708,374764,19944,11191,2912,563,180,2398,109,918,709,40,215,407,0,1428,167,95,171,373,158,41,313,39,71,0,1272,325,400,0,547
"47037","05000US47037","Davidson County","Davidson County, Tennessee","tn","050","00","ACSSF","0000031",,,,,"47","037",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,684017,684017,436135,187189,1640,24045,452,17052,17504,684017,614383,384650,185754,1360,24012,423,2311,15873,69634,51485,1435,280,33,29,14741,1631,684017,614383,384650,185754,1360,24012,423,2311,15873,69634,684017,614383,69634,41096,4008,2286,259,16696,265,3960,5563,537,312,5927,132,2943,235,26,260,841,334,22,902,29,263,31,2346,815,252,0,1279
"48029","05000US48029","Bexar County","Bexar County, Texas","tx","050","00","ACSSF","0000027",,,,,"48","029",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1925865,1925865,1535359,146703,13229,54366,2058,112433,61717,1925865,770360,539435,136411,2863,52513,1589,2655,34894,1155505,995924,10292,10366,1853,469,109778,26823,1925865,770360,539435,136411,2863,52513,1589,2655,34894,1155505,1925865,770360,1155505,1028274,26158,5280,1469,19977,599,2974,5295,1696,3457,5790,166,10158,1003,296,638,3651,840,68,2141,159,1326,36,64189,13317,6525,95,44252
"48113","05000US48113","Dallas County","Dallas County, Texas","tx","050","00","ACSSF","0000069",,,,,"48","113",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2586552,2586552,1595565,582158,9595,159919,1356,169597,68362,2586552,1553552,765816,572790,5243,158780,1125,4484,45314,1033000,829749,9368,4352,1139,231,165113,23048,2586552,1553552,765816,572790,5243,158780,1125,4484,45314,1033000,2586552,1553552,1033000,862271,14009,7896,1979,101894,1603,12188,20799,2561,1353,62480,910,17977,2495,606,722,5028,1541,128,4275,222,2917,43,26974,5525,3711,66,17672
"48201","05000US48201","Harris County","Harris County, Texas","tx","050","00","ACSSF","0000113",,,,,"48","201",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4602523,4602523,2892342,875347,18386,320575,3129,387299,105445,4602523,2643560,1384032,855008,8147,317911,2456,10431,65575,1958963,1508310,20339,10239,2664,673,376868,39870,4602523,2643560,1384032,855008,8147,317911,2456,10431,65575,1958963,4602523,2643560,1958963,1454999,31090,30861,6176,306538,2150,49860,74569,9610,3882,164922,1545,68689,5309,2116,1452,30007,3321,135,8451,1175,16307,416,60610,14788,5625,307,39890
"48439","05000US48439","Tarrant County","Tarrant County, Texas","tx","050","00","ACSSF","0000232",,,,,"48","439",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019977,2019977,1372149,327437,9980,107577,3639,134367,64828,2019977,1443735,958302,319829,5797,106427,3474,3976,45930,576242,413847,7608,4183,1150,165,130391,18898,2019977,1443735,958302,319829,5797,106427,3474,3976,45930,576242,2019977,1443735,576242,486470,21718,5136,2357,30545,512,4813,6668,1333,1326,15732,161,11318,671,212,375,5128,1468,6,1965,75,1311,107,18698,5425,3300,124,9849
"48453","05000US48453","Travis County","Travis County, Texas","tx","050","00","ACSSF","0000239",,,,,"48","453",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1203166,1203166,884639,100148,6847,79400,601,90556,40975,1203166,795490,590373,94922,1963,78250,368,2122,27492,407676,294266,5226,4884,1150,233,88434,13483,1203166,795490,590373,94922,1963,78250,368,2122,27492,407676,1203166,795490,407676,333086,10342,7326,1167,22824,512,5042,7798,1354,1623,6172,323,11367,1155,569,758,2808,1212,65,2302,46,2306,146,21564,6180,3127,16,12241
